Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Midtown East, Manhattan",Korean Restaurant,Japanese Restaurant,Hotel,Gym / Fitness Center,Café,Bakery,Italian Restaurant,Spa,Cosmetics Shop,Vegetarian / Vegan Restaurant
"Midtown North, Manhattan",Exhibit,Park,Outdoor Sculpture,Theater,Bridge,Monument / Landmark,Sculpture Garden,History Museum,Museum,Snack Place
"Midtown South, Manhattan",Korean Restaurant,Hotel,Japanese Restaurant,Gym / Fitness Center,Café,Bakery,Italian Restaurant,Pizza Place,Spa,Coffee Shop
"Midwood, Brooklyn",Pizza Place,Ice Cream Shop,Bagel Shop,Bakery,Candy Store,Convenience Store,Grocery Store,Theater,Flea Market,Fast Food Restaurant
"Morningside Heights, Manhattan",Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Sandwich Place,Pharmacy,Coffee Shop,Park,Café,Tennis Court,Deli / Bodega
"Morrisania/Melrose, Bronx",Ice Cream Shop,Discount Store,Fast Food Restaurant,Chinese Restaurant,Gym,Hotel,Donut Shop,School,Bakery,Deli / Bodega
"Mott Haven/Port Morris, Bronx",Furniture / Home Store,Distillery,Bookstore,Storage Facility,Food Truck,Music Venue,Spanish Restaurant,Performing Arts Venue,Brewery,Home Service
"Mount Hope, Bronx",Fried Chicken Joint,Grocery Store,Mobile Phone Shop,Italian Restaurant,Liquor Store,Shoe Store,Clothing Store,Spanish Restaurant,Sandwich Place,Donut Shop
"Murray Hill, Manhattan",Sandwich Place,Coffee Shop,Mediterranean Restaurant,Burger Joint,Japanese Restaurant,Boxing Gym,Pizza Place,Gym,Bar,Park
"Murray Hill-Queens, Queens",Japanese Restaurant,Zoo,Flower Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"NV, Unknown",Coffee Shop,Gym / Fitness Center,Plaza,Gym,Sandwich Place,Bakery,Hotel,Sushi Restaurant,Park,Deli / Bodega
"New Dorp/Midland Beach, Staten Island",Bus Stop,Restaurant,Cosmetics Shop,Baseball Field,Basketball Court,Medical Center,Café,Pet Store,Business Service,Liquor Store
"Newark Airport, EWR",Rental Car Location,Hotel Bar,Brewery,American Restaurant,Hotel,Zoo,Flower Shop,Farmers Market,Fast Food Restaurant,Field
"North Corona, Queens",Latin American Restaurant,Fast Food Restaurant,Pharmacy,South American Restaurant,Supermarket,Museum,Bar,Caribbean Restaurant,Gym / Fitness Center,Mobile Phone Shop
"Norwood, Bronx",Pizza Place,Chinese Restaurant,Spanish Restaurant,Mexican Restaurant,Bus Station,Pharmacy,Bank,American Restaurant,Park,Metro Station
"Oakland Gardens, Queens",Sushi Restaurant,Donut Shop,Pharmacy,Spa,Playground,Asian Restaurant,Park,Liquor Store,Bus Station,Bank
"Oakwood, Staten Island",Pharmacy,Supermarket,Sandwich Place,Smoke Shop,Supplement Shop,Shipping Store,Asian Restaurant,Coffee Shop,Playground,Bank
"Ocean Hill, Brooklyn",Park,Pharmacy,Mountain,Dog Run,Zoo,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Ocean Parkway South, Brooklyn",Bank,Middle Eastern Restaurant,Pizza Place,Lounge,Restaurant,Donut Shop,Steakhouse,Gym / Fitness Center,Caucasian Restaurant,Sushi Restaurant
"Old Astoria, Queens",Greek Restaurant,Thai Restaurant,Salon / Barbershop,Grocery Store,Chinese Restaurant,Bakery,Bar,Burger Joint,Bagel Shop,Café
"Ozone Park, Queens",Deli / Bodega,Pizza Place,Pharmacy,Mobile Phone Shop,Shoe Store,Spanish Restaurant,Athletics & Sports,Sporting Goods Shop,Mattress Store,Donut Shop
"Park Slope, Brooklyn",Coffee Shop,Bakery,Thai Restaurant,American Restaurant,Spa,Burger Joint,Bar,Bagel Shop,Café,Ice Cream Shop
"Parkchester, Bronx",Supermarket,Grocery Store,Kids Store,American Restaurant,Deli / Bodega,Sandwich Place,Thai Restaurant,Mobile Phone Shop,Gym,Caribbean Restaurant
"Pelham Bay Park, Bronx",Bike Trail,Golf Course,Golf Driving Range,Bus Station,Zoo,Food & Drink Shop,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"Pelham Bay, Bronx",Bank,Gym / Fitness Center,Italian Restaurant,Lawyer,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,Bakery,Snack Place,BBQ Joint
"Pelham Parkway, Bronx",Pizza Place,Chinese Restaurant,Donut Shop,Metro Station,Park,Pharmacy,Deli / Bodega,Bank,Sandwich Place,Diner
"Penn Station/Madison Sq West, Manhattan",Coffee Shop,Hotel,Deli / Bodega,Thai Restaurant,Donut Shop,Music Venue,Pub,Dive Bar,Department Store,Burger Joint
"Port Richmond, Staten Island",Playground,Discount Store,Rental Car Location,Donut Shop,Zoo,Food,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
"Prospect Heights, Brooklyn",Bar,Mexican Restaurant,Cocktail Bar,Ice Cream Shop,Wine Shop,Coffee Shop,Café,Bakery,Cajun / Creole Restaurant,Sushi Restaurant
"Prospect Park, Brooklyn",Caribbean Restaurant,Café,Grocery Store,Wine Shop,Ice Cream Shop,Playground,Tailor Shop,Theme Park Ride / Attraction,Basketball Court,Fast Food Restaurant
"Prospect-Lefferts Gardens, Brooklyn",Caribbean Restaurant,Bank,Juice Bar,Grocery Store,Gym / Fitness Center,Café,Vegetarian / Vegan Restaurant,Bakery,Miscellaneous Shop,Mobile Phone Shop
"Queens Village, Queens",Pharmacy,Caribbean Restaurant,Pizza Place,Bus Stop,Salon / Barbershop,Coffee Shop,Café,Bakery,Donut Shop,Video Store
"Queensboro Hill, Queens",Chinese Restaurant,Vegetarian / Vegan Restaurant,Bus Station,Bagel Shop,Cantonese Restaurant,Hobby Shop,Playground,Asian Restaurant,Market,Dumpling Restaurant
"Queensbridge/Ravenswood, Queens",Hotel,Sandwich Place,Strip Club,Hotel Pool,Baseball Field,Bakery,Event Space,Beer Garden,Coffee Shop,Platform
"Randalls Island, Manhattan",Baseball Field,Tennis Court,Toll Plaza,Burger Joint,Golf Course,Park,Bus Stop,Bus Station,Concert Hall,American Restaurant
"Red Hook, Brooklyn",Park,Farm,Wine Shop,New American Restaurant,Flower Shop,Bar,Bagel Shop,American Restaurant,Ice Cream Shop,Pizza Place
"Rego Park, Queens",Japanese Restaurant,Chinese Restaurant,Discount Store,Peruvian Restaurant,Martial Arts Dojo,Coffee Shop,Health Food Store,Bagel Shop,Bank,Grocery Store
"Richmond Hill, Queens",Indian Restaurant,Pizza Place,Park,Diner,Bar,Bus Station,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"Ridgewood, Queens",Bank,Pharmacy,Deli / Bodega,Grocery Store,Eastern European Restaurant,Greek Restaurant,Pizza Place,Mobile Phone Shop,Chinese Restaurant,Bakery
"Rikers Island, Bronx",Bus Station,Zoo,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service,Fish & Chips Shop,Fish Market
"Riverdale/North Riverdale/Fieldston, Bronx",Bakery,Pizza Place,Plaza,Electronics Store,Sports Bar,Public Art,Zoo,Fish & Chips Shop,Farm,Farmers Market
"Rockaway Park, Queens",Beach,Bank,Pizza Place,Deli / Bodega,Ice Cream Shop,French Restaurant,Steakhouse,Board Shop,Bus Stop,Bar
"Roosevelt Island, Manhattan",Park,Deli / Bodega,Soccer Field,Food & Drink Shop,Pool,Liquor Store,Field,School,Farmers Market,Sandwich Place
"Rosedale, Queens",Bus Station,Baseball Field,Fried Chicken Joint,Jewelry Store,Caribbean Restaurant,Supermarket,Smoke Shop,Chinese Restaurant,Park,Pharmacy
"Rossville/Woodrow, Staten Island",Bus Stop,Cosmetics Shop,Other Repair Shop,Music Venue,Zoo,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Saint Albans, Queens",Caribbean Restaurant,Chinese Restaurant,Market,Dance Studio,Deli / Bodega,Southern / Soul Food Restaurant,Fast Food Restaurant,Donut Shop,Shopping Mall,Motorcycle Shop
"Saint George/New Brighton, Staten Island",Bus Stop,Bar,Donut Shop,Chinese Restaurant,Playground,Park,Deli / Bodega,Mexican Restaurant,Restaurant,Garden Center
"Saint Michaels Cemetery/Woodside, Queens",Bakery,Thai Restaurant,Grocery Store,Pub,American Restaurant,Pizza Place,Café,Bar,Chinese Restaurant,Gym / Fitness Center
"Schuylerville/Edgewater Park, Bronx",Deli / Bodega,Donut Shop,Park,Food & Drink Shop,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service,Fish & Chips Shop
"Seaport, Manhattan",Coffee Shop,Hotel,Juice Bar,Café,American Restaurant,Pizza Place,Restaurant,Salad Place,Sandwich Place,Falafel Restaurant
"Sheepshead Bay, Brooklyn",Deli / Bodega,Bagel Shop,Playground,Supermarket,Pharmacy,Clothing Store,Paper / Office Supplies Store,Bank,Bar,Thrift / Vintage Store
"SoHo, Manhattan",Italian Restaurant,Coffee Shop,Sushi Restaurant,American Restaurant,Gym,Art Gallery,Hotel,Salon / Barbershop,Arts & Crafts Store,Cocktail Bar
"Soundview/Bruckner, Bronx",Donut Shop,Southern / Soul Food Restaurant,Liquor Store,Pharmacy,Ice Cream Shop,Grocery Store,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Breakfast Spot
"Soundview/Castle Hill, Bronx",Pizza Place,Deli / Bodega,Bank,Diner,Baseball Field,Market,Pharmacy,Zoo,Flea Market,Fast Food Restaurant
"South Beach/Dongan Hills, Staten Island",Pizza Place,Italian Restaurant,Pharmacy,Bagel Shop,Jewelry Store,Train Station,Convenience Store,Sandwich Place,Chinese Restaurant,Fast Food Restaurant
"South Jamaica, Queens",Supermarket,Park,Discount Store,Zoo,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"South Ozone Park, Queens",Pizza Place,Chinese Restaurant,Fast Food Restaurant,Food Truck,Seafood Restaurant,Flea Market,Falafel Restaurant,Farm,Farmers Market,Field
"South Williamsburg, Brooklyn",Bar,Pizza Place,Mexican Restaurant,American Restaurant,Wine Bar,Italian Restaurant,Coffee Shop,Chinese Restaurant,Deli / Bodega,Liquor Store
"Springfield Gardens North, Queens",Donut Shop,Sandwich Place,Mobile Phone Shop,Pizza Place,Fast Food Restaurant,Pharmacy,Ice Cream Shop,Construction & Landscaping,Caribbean Restaurant,Cosmetics Shop
"Springfield Gardens South, Queens",Bus Station,Caribbean Restaurant,Sandwich Place,Pizza Place,Clothing Store,Home Service,Park,Donut Shop,Auto Garage,Pharmacy
"Spuyten Duyvil/Kingsbridge, Bronx",Pizza Place,Bar,Mexican Restaurant,Latin American Restaurant,Trail,Donut Shop,Fast Food Restaurant,Sandwich Place,Deli / Bodega,Fried Chicken Joint
"Stapleton, Staten Island",Pizza Place,Mexican Restaurant,Bar,Bank,Discount Store,Sandwich Place,Cosmetics Shop,Park,Asian Restaurant,Pharmacy
"Starrett City, Brooklyn",Pizza Place,Pharmacy,Donut Shop,Chinese Restaurant,Convenience Store,Bagel Shop,Caribbean Restaurant,Supermarket,Mattress Store,Sandwich Place
"Steinway, Queens",Sushi Restaurant,Café,Italian Restaurant,Greek Restaurant,Wine Shop,Chinese Restaurant,Coffee Shop,Pizza Place,Donut Shop,Cosmetics Shop
"Stuy Town/Peter Cooper Village, Manhattan",Wine Shop,Bagel Shop,Grocery Store,Playground,Harbor / Marina,Gym / Fitness Center,Bar,Thai Restaurant,Pizza Place,Coffee Shop
"Stuyvesant Heights, Brooklyn",Bar,Southern / Soul Food Restaurant,Café,Chinese Restaurant,French Restaurant,Park,Caribbean Restaurant,Bakery,Pizza Place,Deli / Bodega
"Sunnyside, Queens",Pizza Place,Sushi Restaurant,Chinese Restaurant,Grocery Store,Coffee Shop,Mexican Restaurant,Bakery,Bar,Peruvian Restaurant,Turkish Restaurant
"Sunset Park East, Brooklyn",Mexican Restaurant,Dumpling Restaurant,Vietnamese Restaurant,Chinese Restaurant,Asian Restaurant,Karaoke Bar,Supermarket,Metro Station,Taiwanese Restaurant,Taco Place
"Sunset Park West, Brooklyn",Boat or Ferry,Harbor / Marina,Zoo,Food,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Sutton Place/Turtle Bay North, Manhattan",Park,Gym,Bar,Bagel Shop,Beer Bar,Yoga Studio,Beer Garden,Gym / Fitness Center,Dog Run,Pizza Place
"Times Sq/Theatre District, Manhattan",Theater,Hotel,Gym,Deli / Bodega,Steakhouse,American Restaurant,Food Truck,French Restaurant,Restaurant,Concert Hall
"TriBeCa/Civic Center, Manhattan",Spa,Coffee Shop,Café,Gym / Fitness Center,Park,Sandwich Place,Cocktail Bar,Pizza Place,Yoga Studio,French Restaurant
"Two Bridges/Seward Park, Manhattan",Cocktail Bar,Coffee Shop,Bar,American Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Mexican Restaurant,Museum,Sandwich Place,Ice Cream Shop
"UN/Turtle Bay South, Manhattan",Italian Restaurant,Gym / Fitness Center,Coffee Shop,Steakhouse,American Restaurant,Thai Restaurant,Grocery Store,Bakery,Bagel Shop,Gym
"Union Sq, Manhattan",Hotel,Japanese Restaurant,Coffee Shop,Sandwich Place,Grocery Store,Clothing Store,Steakhouse,Pizza Place,Boxing Gym,Men's Store
"University Heights/Morris Heights, Bronx",Grocery Store,Convenience Store,Cosmetics Shop,Basketball Court,Playground,State / Provincial Park,Pizza Place,Park,Baseball Field,Bank
"Upper East Side North, Manhattan",Park,Café,Baseball Field,Playground,Reservoir,Art Museum,French Restaurant,Breakfast Spot,Bookstore,Museum
"Upper East Side South, Manhattan",Park,Coffee Shop,Tennis Court,Movie Theater,Pharmacy,Pet Store,Liquor Store,Persian Restaurant,Baseball Field,Greek Restaurant
"Upper West Side North, Manhattan",Baseball Field,Playground,Dog Run,American Restaurant,Recreation Center,Park,Soccer Field,Filipino Restaurant,Field,Flea Market
"Upper West Side South, Manhattan",Park,Plaza,Music Venue,American Restaurant,Garden,Playground,Bakery,Outdoor Sculpture,Other Great Outdoors,Sculpture Garden
"Van Cortlandt Park, Bronx",Sports Bar,Deli / Bodega,Bakery,Mexican Restaurant,Fast Food Restaurant,Pizza Place,History Museum,Steakhouse,Public Art,Film Studio
"Van Cortlandt Village, Bronx",Trail,Pet Store,Bakery,Bar,Shopping Plaza,Grocery Store,Park,Beer Bar,Diner,Football Stadium
"Van Nest/Morris Park, Bronx",Pizza Place,Italian Restaurant,Bank,Cosmetics Shop,Donut Shop,Sandwich Place,Coffee Shop,Pharmacy,Chinese Restaurant,Burger Joint
"Washington Heights North, Manhattan",Park,Grocery Store,Pizza Place,Seafood Restaurant,Mexican Restaurant,Latin American Restaurant,Bar,Supermarket,Café,Scenic Lookout
"Washington Heights South, Manhattan",Pizza Place,Thai Restaurant,Grocery Store,Spanish Restaurant,Sandwich Place,Latin American Restaurant,Coffee Shop,Bookstore,Empanada Restaurant,Café
"West Brighton, Staten Island",Bagel Shop,Italian Restaurant,Music Store,Coffee Shop,Pharmacy,Spanish Restaurant,Bank,Baseball Field,Gym / Fitness Center,Gas Station
"West Chelsea/Hudson Yards, Manhattan",Park,Lounge,Coffee Shop,Art Gallery,Café,Food Truck,Burger Joint,BBQ Joint,Harbor / Marina,Bar
"West Concourse, Bronx",Deli / Bodega,Baseball Stadium,Lounge,Sports Bar,Sandwich Place,Smoke Shop,Park,Food Truck,Historic Site,Bar
"West Farms/Bronx River, Bronx",Bus Station,Park,Donut Shop,Metro Station,Sandwich Place,Basketball Court,Coffee Shop,Lounge,Bus Stop,Bus Line
"West Village, Manhattan",Wine Bar,Italian Restaurant,Park,Coffee Shop,New American Restaurant,Bakery,Pizza Place,Cocktail Bar,Jazz Club,American Restaurant
"Westchester Village/Unionport, Bronx",Juice Bar,Diner,Electronics Store,Seafood Restaurant,Comfort Food Restaurant,Latin American Restaurant,Pizza Place,Deli / Bodega,Dim Sum Restaurant,Food
"Westerleigh, Staten Island",Arcade,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Whitestone, Queens",Italian Restaurant,Deli / Bodega,Diner,Pizza Place,Pharmacy,Bank,Donut Shop,Martial Arts Dojo,Ice Cream Shop,Japanese Restaurant
"Willets Point, Queens",Sports Bar,Burger Joint,American Restaurant,Baseball Stadium,Bar,Sandwich Place,Fast Food Restaurant,Bridge,Pizza Place,Beer Garden
"Williamsbridge/Olinville, Bronx",Pizza Place,Sandwich Place,Fast Food Restaurant,Fried Chicken Joint,Gym,Chinese Restaurant,Deli / Bodega,Smoke Shop,Historic Site,Train Station
"Williamsburg (North Side), Brooklyn",Coffee Shop,Pizza Place,Sushi Restaurant,New American Restaurant,Donut Shop,Polish Restaurant,Bagel Shop,Clothing Store,Fish Market,Café
"Williamsburg (South Side), Brooklyn",Bar,Deli / Bodega,Playground,Music Venue,Hotel,Rental Car Location,Discount Store,New American Restaurant,Bank,Wine Shop
"Windsor Terrace, Brooklyn",Deli / Bodega,Ice Cream Shop,Italian Restaurant,Café,Park,Playground,Taco Place,Sports Bar,Grocery Store,Farmers Market
"Woodhaven, Queens",Deli / Bodega,Bank,Pizza Place,Fried Chicken Joint,Dog Run,Mexican Restaurant,Bagel Shop,Supermarket,Thai Restaurant,Chinese Restaurant
"Woodlawn/Wakefield, Bronx",Pharmacy,Pizza Place,Fast Food Restaurant,Asian Restaurant,Bagel Shop,Food,Donut Shop,Sandwich Place,Check Cashing Service,Fried Chicken Joint
"Woodside, Queens",Bakery,Thai Restaurant,Grocery Store,Pub,American Restaurant,Pizza Place,Café,Bar,Chinese Restaurant,Gym / Fitness Center
"World Trade Center, Manhattan",Hotel,Coffee Shop,Sandwich Place,Plaza,Gym,Memorial Site,Burger Joint,Park,Wine Shop,Shopping Mall
"Yorkville East, Manhattan",Park,Auto Workshop,Supermarket,Baseball Field,Intersection,Monument / Landmark,Gym,Flower Shop,Fast Food Restaurant,Field
"Yorkville West, Manhattan",Exhibit,Bakery,Italian Restaurant,Yoga Studio,Gym / Fitness Center,Mexican Restaurant,Art Museum,Coffee Shop,Salad Place,Pizza Place
"nan, Unknown",Coffee Shop,Gym / Fitness Center,Plaza,Gym,Sandwich Place,Bakery,Hotel,Sushi Restaurant,Park,Deli / Bodega
